PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,"Phenotype (Unstable (<30 min), Stable (>30 min))",Half-life (minutes),Compound QC
24387037,16010509,Active,stable,>30,QC'd by NCATS
24389898,1243964,Active,stable,>30,QC'd by NCATS
24391343,929965,Active,stable,>30,QC'd by NCATS
24391620,930029,Active,stable,>30,QC'd by NCATS
24392740,16015034,Active,stable,>30,QC'd by NCATS
24395522,16017615,Active,stable,>30,QC'd by NCATS
24395768,16017831,Active,stable,>30,QC'd by NCATS
24395790,16017851,Active,stable,>30,QC'd by NCATS
24396121,16018174,Active,stable,>30,QC'd by NCATS
24396266,16018319,Active,stable,>30,QC'd by NCATS
24398907,16020562,Active,stable,>30,QC'd by NCATS
24399781,16021425,Active,stable,>30,QC'd by NCATS
24401072,16022683,Active,stable,>30,QC'd by NCATS
24401952,16023553,Active,stable,>30,QC'd by NCATS
24402926,16024507,Active,stable,>30,QC'd by NCATS
24404118,16025678,Active,stable,>30,QC'd by NCATS
24404134,16025693,Active,stable,>30,QC'd by NCATS
24404393,16025942,Active,stable,>30,QC'd by NCATS
124892066,135410503,Active,stable,>30,QC'd by NCATS
377677992,16029337,Active,stable,>30,QC'd by NCATS
24409549,135410529,Active,stable,>30,QC'd by NCATS
24410318,16031361,Active,stable,>30,QC'd by NCATS
24411547,4705986,Active,stable,>30,QC'd by NCATS
24412961,16033099,Active,stable,>30,QC'd by NCATS
24412993,16033131,Active,stable,>30,QC'd by NCATS
24412997,16033135,Active,stable,>30,QC'd by NCATS
24413059,16033196,Active,stable,>30,QC'd by NCATS
24414349,7205529,Active,stable,>30,QC'd by NCATS
124892067,4190676,Active,stable,>30,QC'd by NCATS
24416244,5162647,Active,stable,>30,QC'd by NCATS
24417378,1511198,Active,stable,>30,QC'd by NCATS
29215522,9872740,Active,stable,>30,QC'd by NCATS
124892236,9893924,Active,stable,>30,QC'd by NCATS
174007299,5516,Active,stable,>30,QC'd by NCATS
174007191,73265357,Active,stable,>30,QC'd by NCATS
170465481,7547,Active,stable,>30,QC'd by NCATS
170466562,18637,Active,stable,>30,QC'd by NCATS
170466637,71335,Active,stable,>30,QC'd by NCATS
170465783,34001,Active,stable,>30,QC'd by NCATS
174006576,3086686,Active,stable,>30,QC'd by NCATS
377020522,9860529,Active,stable,>30,QC'd by NCATS
170465557,37907,Active,stable,>30,QC'd by NCATS
124893286,2377964,Active,stable,>30,QC'd by NCATS
170465365,2161,Active,stable,>30,QC'd by NCATS
170465617,3081361,Active,stable,>30,QC'd by NCATS
170466345,122077,Active,stable,>30,QC'd by NCATS
174007233,2678,Active,stable,>30,QC'd by NCATS
170465180,5311,Active,stable,>30,QC'd by NCATS
170466862,11219835,Active,stable,>30,QC'd by NCATS
170465224,54685047,Active,stable,>30,QC'd by NCATS
50124620,15571694,Active,stable,>30,QC'd by NCATS
50125355,24871224,Active,stable,>30,QC'd by NCATS
144206281,15559221,Active,stable,>30,QC'd by NCATS
56431688,25109905,Active,stable,>30,QC'd by NCATS
57288372,25181364,Active,stable,>30,QC'd by NCATS
57288373,25181365,Active,stable,>30,QC'd by NCATS
57288374,25181366,Active,stable,>30,QC'd by NCATS
57288375,25181367,Active,stable,>30,QC'd by NCATS
124893772,24180125,Active,stable,>30,QC'd by NCATS
170466021,2515,Active,stable,>30,QC'd by NCATS
89650096,44142148,Active,stable,>30,QC'd by NCATS
104223957,2921716,Active,stable,>30,QC'd by NCATS
144206859,71900,Active,stable,>30,QC'd by NCATS
57288397,9795907,Active,stable,>30,QC'd by NCATS
124894352,644241,Active,stable,>30,QC'd by NCATS
87677813,44144342,Active,stable,>30,QC'd by NCATS
87677814,44144356,Active,stable,>30,QC'd by NCATS
87677817,44144352,Active,stable,>30,QC'd by NCATS
87677820,44144360,Active,stable,>30,QC'd by NCATS
99367903,46907660,Active,stable,>30,QC'd by NCATS
87677825,44144364,Active,stable,>30,QC'd by NCATS
99367907,46907760,Active,stable,>30,QC'd by NCATS
87677828,44143157,Active,stable,>30,QC'd by NCATS
124894559,44341401,Active,stable,>30,QC'd by NCATS
85267344,44246403,Active,stable,>30,QC'd by NCATS
89449681,44820665,Active,stable,>30,QC'd by NCATS
104224103,49852946,Active,stable,>30,QC'd by NCATS
99367914,46907723,Active,stable,>30,QC'd by NCATS
99367917,46907697,Active,stable,>30,QC'd by NCATS
99367918,46907661,Active,stable,>30,QC'd by NCATS
99367922,46907713,Active,stable,>30,QC'd by NCATS
99367923,46907712,Active,stable,>30,QC'd by NCATS
99367924,46907729,Active,stable,>30,QC'd by NCATS
99367927,46907727,Active,stable,>30,QC'd by NCATS
99367928,46907680,Active,stable,>30,QC'd by NCATS
99367929,46907669,Active,stable,>30,QC'd by NCATS
99367935,46907689,Active,stable,>30,QC'd by NCATS
99367945,46907667,Active,stable,>30,QC'd by NCATS
99367950,46907737,Active,stable,>30,QC'd by NCATS
99367951,46907724,Active,stable,>30,QC'd by NCATS
99367952,46907754,Active,stable,>30,QC'd by NCATS
99367953,46907674,Active,stable,>30,QC'd by NCATS
99367954,46907688,Active,stable,>30,QC'd by NCATS
99367955,46907709,Active,stable,>30,QC'd by NCATS
99367957,46907730,Active,stable,>30,QC'd by NCATS
99367958,46907747,Active,stable,>30,QC'd by NCATS
109967254,135422895,Active,stable,>30,QC'd by NCATS
124896721,9967941,Active,stable,>30,QC'd by NCATS
174316142,44246499,Active,stable,>30,QC'd by NCATS
104224195,1005314,Active,stable,>30,QC'd by NCATS
124898752,20969430,Active,stable,>30,QC'd by NCATS
104224196,49853075,Active,stable,>30,QC'd by NCATS
99367971,46907657,Active,stable,>30,QC'd by NCATS
99367974,46907671,Active,stable,>30,QC'd by NCATS
99367980,46907666,Active,stable,>30,QC'd by NCATS
99367982,46907678,Active,stable,>30,QC'd by NCATS
99367985,23729147,Active,stable,>30,QC'd by NCATS
99367991,46907746,Active,stable,>30,QC'd by NCATS
104224257,11551001,Active,stable,>30,QC'd by NCATS
174007035,24978538,Active,stable,>30,QC'd by NCATS
104224268,49853131,Active,stable,>30,QC'd by NCATS
174006739,107970,Active,stable,>30,QC'd by NCATS
90945016,44968250,Active,stable,>30,QC'd by NCATS
89650115,39886486,Active,stable,>30,QC'd by NCATS
89650116,44825300,Active,stable,>30,QC'd by NCATS
89650119,44825303,Active,stable,>30,QC'd by NCATS
174006431,10127622,Active,stable,>30,QC'd by NCATS
103061644,49787080,Active,stable,>30,QC'd by NCATS
99431323,46926046,Active,stable,>30,QC'd by NCATS
174006342,49852229,Active,stable,>30,QC'd by NCATS
134225063,2806493,Active,stable,>30,QC'd by NCATS
99380797,46916190,Active,stable,>30,QC'd by NCATS
99431338,46926057,Active,stable,>30,QC'd by NCATS
110167679,46916310,Active,stable,>30,QC'd by NCATS
99381597,46916317,Active,stable,>30,QC'd by NCATS
104224451,49853209,Active,stable,>30,QC'd by NCATS
104224452,49852856,Active,stable,>30,QC'd by NCATS
104224455,49853100,Active,stable,>30,QC'd by NCATS
104224460,49852823,Active,stable,>30,QC'd by NCATS
99431355,46926073,Active,stable,>30,QC'd by NCATS
99431360,46926078,Active,stable,>30,QC'd by NCATS
99431362,46926080,Active,stable,>30,QC'd by NCATS
134225083,56593329,Active,stable,>30,QC'd by NCATS
124949384,42376812,Active,stable,>30,QC'd by NCATS
174006567,53398697,Active,stable,>30,QC'd by NCATS
174006470,3038525,Active,stable,>30,QC'd by NCATS
124950268,9563318,Active,stable,>30,QC'd by NCATS
99460881,46947865,Active,stable,>30,QC'd by NCATS
363677140,9803963,Active,stable,>30,QC'd by NCATS
104224707,49853287,Active,stable,>30,QC'd by NCATS
104224708,49853141,Active,stable,>30,QC'd by NCATS
104224756,49853203,Active,stable,>30,QC'd by NCATS
124398509,49853134,Active,stable,>30,QC'd by NCATS
104224779,49853294,Active,stable,>30,QC'd by NCATS
104224790,49853266,Active,stable,>30,QC'd by NCATS
104224801,49853005,Active,stable,>30,QC'd by NCATS
363677146,24889392,Active,stable,>30,QC'd by NCATS
124950697,11713159,Active,stable,>30,QC'd by NCATS
110167682,50898225,Active,stable,>30,QC'd by NCATS
124351203,46902231,Active,stable,>30,QC'd by NCATS
124391175,53255427,Active,stable,>30,QC'd by NCATS
124391179,53255440,Active,stable,>30,QC'd by NCATS
124398537,53257113,Active,stable,>30,QC'd by NCATS
124398543,53257132,Active,stable,>30,QC'd by NCATS
124398555,53257087,Active,stable,>30,QC'd by NCATS
124398557,53257190,Active,stable,>30,QC'd by NCATS
124398559,53257196,Active,stable,>30,QC'd by NCATS
124398561,53257155,Active,stable,>30,QC'd by NCATS
124398564,53257119,Active,stable,>30,QC'd by NCATS
124398570,53257126,Active,stable,>30,QC'd by NCATS
124398597,53257176,Active,stable,>30,QC'd by NCATS
124398604,53257116,Active,stable,>30,QC'd by NCATS
174006757,14096316,Active,stable,>30,QC'd by NCATS
134225094,56593314,Active,stable,>30,QC'd by NCATS
124391163,53255421,Active,stable,>30,QC'd by NCATS
124391149,53255430,Active,stable,>30,QC'd by NCATS
124391142,53255396,Active,stable,>30,QC'd by NCATS
124391143,53255428,Active,stable,>30,QC'd by NCATS
161003873,1001345,Active,stable,>30,QC'd by NCATS
161003874,2964643,Active,stable,>30,QC'd by NCATS
124953107,77623,Active,stable,>30,QC'd by NCATS
