PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,"Phenotype (Unstable (<30 min), Stable (>30 min))",Half-life (minutes),Compound QC
164755775,71771093,Active,stable,>30,QC'd by NCATS
164755776,71771076,Active,stable,>30,QC'd by NCATS
164755777,71771067,Active,stable,>30,QC'd by NCATS
170466922,72187541,Active,stable,>30,QC'd by NCATS
170466923,72187538,Active,stable,>30,QC'd by NCATS
174006982,49846579,Active,stable,>30,QC'd by NCATS
174006726,10430360,Active,stable,>30,QC'd by NCATS
174006690,44205240,Active,stable,>30,QC'd by NCATS
170466925,72187548,Active,stable,>30,QC'd by NCATS
174006384,25161177,Active,stable,>30,QC'd by NCATS
174007076,73265337,Active,stable,>30,QC'd by NCATS
174006481,135398495,Active,stable,>30,QC'd by NCATS
174007337,50515,Active,stable,>30,QC'd by NCATS
174006878,73265297,Active,stable,>30,QC'd by NCATS
174006488,6852167,Active,stable,>30,QC'd by NCATS
174006598,9549295,Active,stable,>30,QC'd by NCATS
174006525,11175137,Active,stable,>30,QC'd by NCATS
174007030,16718576,Active,stable,>30,QC'd by NCATS
174006504,11978790,Active,stable,>30,QC'd by NCATS
174006463,54575456,Active,stable,>30,QC'd by NCATS
170466928,72187542,Active,stable,>30,QC'd by NCATS
174006587,5311510,Active,stable,>30,QC'd by NCATS
174006424,9934347,Active,stable,>30,QC'd by NCATS
174006458,10200390,Active,stable,>30,QC'd by NCATS
174006397,71550931,Active,stable,>30,QC'd by NCATS
170466932,72187547,Active,stable,>30,QC'd by NCATS
170466934,72187552,Active,stable,>30,QC'd by NCATS
174006367,56963315,Active,stable,>30,QC'd by NCATS
174007255,53239854,Active,stable,>30,QC'd by NCATS
170466937,72187540,Active,stable,>30,QC'd by NCATS
170466938,72187529,Active,stable,>30,QC'd by NCATS
175422195,73424672,Active,stable,>30,QC'd by NCATS
175422197,73424673,Active,stable,>30,QC'd by NCATS
377020530,71608036,Active,stable,>30,QC'd by NCATS
363677744,44129660,Active,stable,>30,QC'd by NCATS
174315288,73330286,Active,stable,>30,QC'd by NCATS
363677745,72943187,Active,stable,>30,QC'd by NCATS
363677752,76285486,Active,stable,>30,QC'd by NCATS
363677758,45378188,Active,stable,>30,QC'd by NCATS
384569011,73010924,Active,stable,>30,QC'd by NCATS
363677761,133053865,Active,stable,>30,QC'd by NCATS
363677762,133053880,Active,stable,>30,QC'd by NCATS
384569018,135565082,Active,stable,>30,QC'd by NCATS
363677776,44462758,Active,stable,>30,QC'd by NCATS
363677782,54766613,Active,stable,>30,QC'd by NCATS
312523666,118796328,Active,stable,>30,QC'd by NCATS
363677792,135566899,Active,stable,>30,QC'd by NCATS
363677797,135564749,Active,stable,>30,QC'd by NCATS
377020242,74767274,Active,stable,>30,QC'd by NCATS
377020249,90157166,Active,stable,>30,QC'd by NCATS
363677802,91623361,Active,stable,>30,QC'd by NCATS
384569031,66613669,Active,stable,>30,QC'd by NCATS
384569033,46926360,Active,stable,>30,QC'd by NCATS
363677805,1092458,Active,stable,>30,QC'd by NCATS
363677832,1261822,Active,stable,>30,QC'd by NCATS
363677847,5311424,Active,stable,>30,QC'd by NCATS
363677875,9869276,Active,stable,>30,QC'd by NCATS
363677940,16195554,Active,stable,>30,QC'd by NCATS
363678001,5311096,Active,stable,>30,QC'd by NCATS
363678023,44402523,Active,stable,>30,QC'd by NCATS
363678054,1791111,Active,stable,>30,QC'd by NCATS
363678072,91623360,Active,stable,>30,QC'd by NCATS
363678073,90094283,Active,stable,>30,QC'd by NCATS
363678075,46192505,Active,stable,>30,QC'd by NCATS
384569044,131955127,Active,stable,>30,QC'd by NCATS
375814047,4134287,Active,stable,>30,QC'd by NCATS
375814221,134789010,Active,stable,>30,QC'd by NCATS
375814862,134789906,Active,stable,>30,QC'd by NCATS
375813702,134791272,Active,stable,>30,QC'd by NCATS
375813187,134790244,Active,stable,>30,QC'd by NCATS
375813456,134788378,Active,stable,>30,QC'd by NCATS
375813713,134787997,Active,stable,>30,QC'd by NCATS
375813970,118740523,Active,stable,>30,QC'd by NCATS
375814230,134789746,Active,stable,>30,QC'd by NCATS
375814487,134790239,Active,stable,>30,QC'd by NCATS
375813461,134788860,Active,stable,>30,QC'd by NCATS
375813587,134788093,Active,stable,>30,QC'd by NCATS
375813972,134789059,Active,stable,>30,QC'd by NCATS
375814237,134789772,Active,stable,>30,QC'd by NCATS
375813337,134789256,Active,stable,>30,QC'd by NCATS
375814241,118740471,Active,stable,>30,QC'd by NCATS
375811358,63268833,Active,stable,>30,QC'd by NCATS
363678082,58496428,Active,stable,>30,QC'd by NCATS
363678175,11497983,Active,stable,>30,QC'd by NCATS
363678176,25181195,Active,stable,>30,QC'd by NCATS
363678316,11154555,Active,stable,>30,QC'd by NCATS
363678330,9871419,Active,stable,>30,QC'd by NCATS
363678404,66552906,Active,stable,>30,QC'd by NCATS
363679173,71566751,Active,stable,>30,QC'd by NCATS
363679181,78357767,Active,stable,>30,QC'd by NCATS
363679201,76283751,Active,stable,>30,QC'd by NCATS
363679202,73670548,Active,stable,>30,QC'd by NCATS
363679203,121439609,Active,stable,>30,QC'd by NCATS
363680161,56846693,Active,stable,>30,QC'd by NCATS
363680204,59472121,Active,stable,>30,QC'd by NCATS
363680207,44631912,Active,stable,>30,QC'd by NCATS
363680609,91663282,Active,stable,>30,QC'd by NCATS
363680649,86660217,Active,stable,>30,QC'd by NCATS
363680665,5330814,Active,stable,>30,QC'd by NCATS
363680860,64393976,Active,stable,>30,QC'd by NCATS
384569198,151115,Active,stable,>30,QC'd by NCATS
363680917,67960134,Active,stable,>30,QC'd by NCATS
363680986,90407809,Active,stable,>30,QC'd by NCATS
363680987,74766595,Active,stable,>30,QC'd by NCATS
375807594,75410922,Active,stable,>30,QC'd by NCATS
375808655,75411313,Active,stable,>30,QC'd by NCATS
375809655,45360472,Active,stable,>30,QC'd by NCATS
375806667,26745074,Active,stable,>30,QC'd by NCATS
375798497,28961069,Active,stable,>30,QC'd by NCATS
375800550,51136636,Active,stable,>30,QC'd by NCATS
377020432,49878590,Active,stable,>30,QC'd by NCATS
363681088,133053891,Active,stable,>30,QC'd by NCATS
375885383,134805851,Active,stable,>30,QC'd by NCATS
375890710,134811177,Active,stable,>30,QC'd by NCATS
375884871,134805340,Active,stable,>30,QC'd by NCATS
375890601,134811068,Active,stable,>30,QC'd by NCATS
375889120,134809587,Active,stable,>30,QC'd by NCATS
375890796,134811263,Active,stable,>30,QC'd by NCATS
375890820,134811287,Active,stable,>30,QC'd by NCATS
375884537,134805006,Active,stable,>30,QC'd by NCATS
375888878,134809345,Active,stable,>30,QC'd by NCATS
375887945,134808413,Active,stable,>30,QC'd by NCATS
375886802,134807270,Active,stable,>30,QC'd by NCATS
375889090,134809557,Active,stable,>30,QC'd by NCATS
375890154,134810621,Active,stable,>30,QC'd by NCATS
375888127,134808595,Active,stable,>30,QC'd by NCATS
375890180,134810647,Active,stable,>30,QC'd by NCATS
375890192,134810659,Active,stable,>30,QC'd by NCATS
375890158,134810625,Active,stable,>30,QC'd by NCATS
375890183,134810650,Active,stable,>30,QC'd by NCATS
375889102,134809569,Active,stable,>30,QC'd by NCATS
363681089,133053881,Active,stable,>30,QC'd by NCATS
375887454,134807922,Active,stable,>30,QC'd by NCATS
375886014,134806482,Active,stable,>30,QC'd by NCATS
375886913,134807381,Active,stable,>30,QC'd by NCATS
375887100,134807568,Active,stable,>30,QC'd by NCATS
375886568,134807036,Active,stable,>30,QC'd by NCATS
375890623,134811090,Active,stable,>30,QC'd by NCATS
375888956,134809423,Active,stable,>30,QC'd by NCATS
375888711,134809178,Active,stable,>30,QC'd by NCATS
363681092,133053816,Active,stable,>30,QC'd by NCATS
363681094,133053821,Active,stable,>30,QC'd by NCATS
363681097,52934180,Active,stable,>30,QC'd by NCATS
375861543,16764671,Active,stable,>30,QC'd by NCATS
375859571,16764686,Active,stable,>30,QC'd by NCATS
375863579,16764695,Active,stable,>30,QC'd by NCATS
375882835,91762950,Active,stable,>30,QC'd by NCATS
375858577,91903472,Active,stable,>30,QC'd by NCATS
375852584,91913176,Active,stable,>30,QC'd by NCATS
375842535,71705501,Active,stable,>30,QC'd by NCATS
375852557,71707181,Active,stable,>30,QC'd by NCATS
375854622,71829154,Active,stable,>30,QC'd by NCATS
375856586,71828999,Active,stable,>30,QC'd by NCATS
375871810,56715543,Active,stable,>30,QC'd by NCATS
375842572,90488048,Active,stable,>30,QC'd by NCATS
375883320,56881339,Active,stable,>30,QC'd by NCATS
375845721,91904528,Active,stable,>30,QC'd by NCATS
375879261,56886853,Active,stable,>30,QC'd by NCATS
375879869,70726807,Active,stable,>30,QC'd by NCATS
375873079,56893258,Active,stable,>30,QC'd by NCATS
375847597,91904901,Active,stable,>30,QC'd by NCATS
375865736,91653956,Active,stable,>30,QC'd by NCATS
375857652,87051999,Active,stable,>30,QC'd by NCATS
375841555,87052427,Active,stable,>30,QC'd by NCATS
375867775,53183866,Active,stable,>30,QC'd by NCATS
375866379,87052512,Active,stable,>30,QC'd by NCATS
375866399,136665503,Active,stable,>30,QC'd by NCATS
375854302,136665504,Active,stable,>30,QC'd by NCATS
375856522,91916716,Active,stable,>30,QC'd by NCATS
375866622,136326488,Active,stable,>30,QC'd by NCATS
375847692,136665409,Active,stable,>30,QC'd by NCATS
375839683,91891807,Active,stable,>30,QC'd by NCATS
375861246,110197656,Active,stable,>30,QC'd by NCATS
375863122,110202952,Active,stable,>30,QC'd by NCATS
375851432,124050542,Active,stable,>30,QC'd by NCATS
375869503,91911828,Active,stable,>30,QC'd by NCATS
375849247,46089231,Active,stable,>30,QC'd by NCATS
375847183,46089123,Active,stable,>30,QC'd by NCATS
375849213,46089060,Active,stable,>30,QC'd by NCATS
375857125,46088963,Active,stable,>30,QC'd by NCATS
363681098,68289010,Active,stable,>30,QC'd by NCATS
377020474,66610682,Active,stable,>30,QC'd by NCATS
375817816,137299399,Active,stable,>30,QC'd by NCATS
375817885,137299434,Active,stable,>30,QC'd by NCATS
375817944,137299464,Active,stable,>30,QC'd by NCATS
375817968,137299474,Active,stable,>30,QC'd by NCATS
375817790,137299390,Active,stable,>30,QC'd by NCATS
375817855,137299421,Active,stable,>30,QC'd by NCATS
375817948,137299467,Active,stable,>30,QC'd by NCATS
375820357,137291230,Active,stable,>30,QC'd by NCATS
375820358,137291231,Active,stable,>30,QC'd by NCATS
375818693,137299526,Active,stable,>30,QC'd by NCATS
375819054,137299537,Active,stable,>30,QC'd by NCATS
377020256,5319693,Active,stable,>30,QC'd by NCATS
363681104,71245288,Active,stable,>30,QC'd by NCATS
363681105,25214468,Active,stable,>30,QC'd by NCATS
363681106,89683805,Active,stable,>30,QC'd by NCATS
363681115,91864701,Active,stable,>30,QC'd by NCATS
384569252,117072550,Active,stable,>30,QC'd by NCATS
384569253,117072549,Active,stable,>30,QC'd by NCATS
377020458,91666658,Active,stable,>30,QC'd by NCATS
363681120,131601,Active,stable,>30,QC'd by NCATS
363681129,119081409,Active,stable,>30,QC'd by NCATS
375821251,134798709,Active,stable,>30,QC'd by NCATS
363681142,44181686,Active,stable,>30,QC'd by NCATS
363681143,68165256,Active,stable,>30,QC'd by NCATS
363681153,500902,Active,stable,>30,QC'd by NCATS
363681167,76685059,Active,stable,>30,QC'd by NCATS
384569273,121277860,Active,stable,>30,QC'd by NCATS
363681191,46871935,Active,stable,>30,QC'd by NCATS
363681210,71766156,Active,stable,>30,QC'd by NCATS
363681319,14328920,Active,stable,>30,QC'd by NCATS
363681340,133053887,Active,stable,>30,QC'd by NCATS
375824542,134798083,Active,stable,>30,QC'd by NCATS
384569280,78426698,Active,stable,>30,QC'd by NCATS
375823137,134797228,Active,stable,>30,QC'd by NCATS
384569302,81689696,Active,stable,>30,QC'd by NCATS
375825070,134796226,Active,stable,>30,QC'd by NCATS
375828433,134801672,Active,stable,>30,QC'd by NCATS
384569319,6456014,Active,stable,>30,QC'd by NCATS
384569347,53262401,Active,stable,>30,QC'd by NCATS
384569357,123132228,Active,stable,>30,QC'd by NCATS
384569392,72165228,Active,stable,>30,QC'd by NCATS
384569506,118196485,Active,stable,>30,QC'd by NCATS
172113103,69304814,Active,stable,>30,QC'd by NCATS
104224463,49852873,Active,stable,>30,QC'd by NCATS
384569059,9810929,Active,stable,>30,QC'd by NCATS
124398554,53257105,Active,stable,>30,QC'd by NCATS
174007436,10607,Active,stable,>30,QC'd by NCATS
363678031,10429706,Active,stable,>30,QC'd by NCATS
99367891,46907675,Active,stable,>30,QC'd by NCATS
363677922,5328135,Active,stable,>30,QC'd by NCATS
375877636,136665264,Active,stable,>30,QC'd by NCATS
24271591,15990861,Active,stable,>30,QC'd by NCATS
174006746,3246697,Active,stable,>30,QC'd by NCATS
856199,657574,Active,stable,>30,QC'd by NCATS
384568591,11222830,Active,stable,>30,QC'd by NCATS
375800456,40777002,Active,stable,>30,QC'd by NCATS
174006528,10366136,Active,stable,>30,QC'd by NCATS
172113107,2365267,Active,stable,>30,QC'd by NCATS
24275989,3317547,Active,stable,>30,QC'd by NCATS
124398520,53257109,Active,stable,>30,QC'd by NCATS
161003935,70789472,Active,stable,>30,QC'd by NCATS
160844139,70701466,Active,stable,>30,QC'd by NCATS
377690240,3116398,Active,stable,>30,QC'd by NCATS
161004460,70789701,Active,stable,>30,QC'd by NCATS
124877929,3246346,Inactive,unstable,29.84,QC'd by NCATS
375852621,71705536,Inactive,unstable,29.71,QC'd by NCATS
377712953,42654957,Inactive,unstable,29.66,QC'd by NCATS
375807600,26742466,Inactive,unstable,29.6,QC'd by NCATS
24397051,16019052,Inactive,unstable,29.56,QC'd by NCATS
24270649,15990034,Inactive,unstable,29.25,QC'd by NCATS
162010091,71296019,Inactive,unstable,29,QC'd by NCATS
160844100,70701358,Inactive,unstable,29,QC'd by NCATS
161004693,70789724,Inactive,unstable,29,QC'd by NCATS
161004704,70789733,Inactive,unstable,29,QC'd by NCATS
24415990,16034349,Inactive,unstable,28.6,QC'd by NCATS
124953113,54677920,Inactive,unstable,28.27,QC'd by NCATS
363677457,166558,Inactive,unstable,28.24,QC'd by NCATS
4264091,805276,Inactive,unstable,28,QC'd by NCATS
24401950,16023551,Inactive,unstable,28,QC'd by NCATS
89650121,36649951,Inactive,unstable,28,QC'd by NCATS
104224796,49852897,Inactive,unstable,28,QC'd by NCATS
160844123,70701461,Inactive,unstable,28,QC'd by NCATS
161004470,136259031,Inactive,unstable,28,QC'd by NCATS
161004493,70789645,Inactive,unstable,28,QC'd by NCATS
24272350,15991077,Inactive,unstable,27.88,QC'd by NCATS
363681031,59422203,Inactive,unstable,27.81,QC'd by NCATS
375885777,134806245,Inactive,unstable,27.8,QC'd by NCATS
99367956,46907673,Inactive,unstable,27.7,QC'd by NCATS
124878590,3246584,Inactive,unstable,27.55,QC'd by NCATS
375868743,53137466,Inactive,unstable,27.3,QC'd by NCATS
375862375,87052503,Inactive,unstable,27.26,QC'd by NCATS
363677885,1474853,Inactive,unstable,27.2,QC'd by NCATS
384569008,71268957,Inactive,unstable,27.19,QC'd by NCATS
375858633,91903489,Inactive,unstable,27.19,QC'd by NCATS
99431337,46926056,Inactive,unstable,27,QC'd by NCATS
99431340,46926059,Inactive,unstable,27,QC'd by NCATS
162010072,71296007,Inactive,unstable,27,QC'd by NCATS
161004083,70789376,Inactive,unstable,27,QC'd by NCATS
162010101,71295997,Inactive,unstable,27,QC'd by NCATS
375814997,134790917,Inactive,unstable,26.6,QC'd by NCATS
387065730,9954280,Inactive,unstable,26.58,QC'd by NCATS
24417192,4901885,Inactive,unstable,26.43,QC'd by NCATS
124953206,234846,Inactive,unstable,26.34,QC'd by NCATS
24385932,16009501,Inactive,unstable,26.24,QC'd by NCATS
99367913,46907665,Inactive,unstable,26.16,QC'd by NCATS
4237971,3233084,Inactive,unstable,26,QC'd by NCATS
24391622,930080,Inactive,unstable,26,QC'd by NCATS
124398512,53257121,Inactive,unstable,26,QC'd by NCATS
172121274,8182575,Inactive,unstable,26,QC'd by NCATS
172113118,72710609,Inactive,unstable,26,QC'd by NCATS
161004462,70789691,Inactive,unstable,26,QC'd by NCATS
161004465,70789678,Inactive,unstable,26,QC'd by NCATS
377664250,16015040,Inactive,unstable,25.99,QC'd by NCATS
99367970,46907679,Inactive,unstable,25.99,QC'd by NCATS
377714993,42654396,Inactive,unstable,25.97,QC'd by NCATS
24275639,15991374,Inactive,unstable,25.91,QC'd by NCATS
375855233,124050558,Inactive,unstable,25.72,QC'd by NCATS
24401600,16023208,Inactive,unstable,25.66,QC'd by NCATS
24417129,5300038,Inactive,unstable,25.58,QC'd by NCATS
99368009,46907762,Inactive,unstable,25.53,QC'd by NCATS
24788254,2951020,Inactive,unstable,25.52,QC'd by NCATS
375817646,137299321,Inactive,unstable,25.28,QC'd by NCATS
87677818,44144354,Inactive,unstable,25.27,QC'd by NCATS
24387041,16010511,Inactive,unstable,25,QC'd by NCATS
134225078,1313916,Inactive,unstable,25,QC'd by NCATS
377675920,50801997,Inactive,unstable,25,QC'd by NCATS
160844102,70701415,Inactive,unstable,25,QC'd by NCATS
161004158,70789395,Inactive,unstable,25,QC'd by NCATS
161004472,70789669,Inactive,unstable,25,QC'd by NCATS
164755781,71771101,Inactive,unstable,25,QC'd by NCATS
384569006,72551585,Inactive,unstable,24.98,QC'd by NCATS
363678114,59473233,Inactive,unstable,24.92,QC'd by NCATS
375828361,134801994,Inactive,unstable,24.81,QC'd by NCATS
99367944,46907752,Inactive,unstable,24.74,QC'd by NCATS
24408055,16029343,Inactive,unstable,24.68,QC'd by NCATS
375874769,74244241,Inactive,unstable,24.6,QC'd by NCATS
375850542,75490816,Inactive,unstable,24.56,QC'd by NCATS
4260860,775994,Inactive,unstable,24.36,QC'd by NCATS
375887157,134807625,Inactive,unstable,24.23,QC'd by NCATS
24389500,11835320,Inactive,unstable,24.21,QC'd by NCATS
375813582,134789021,Inactive,unstable,24.04,QC'd by NCATS
375824327,134798526,Inactive,unstable,24.02,QC'd by NCATS
162010022,663999,Inactive,unstable,24,QC'd by NCATS
104224189,4566836,Inactive,unstable,24,QC'd by NCATS
99431308,46926031,Inactive,unstable,24,QC'd by NCATS
104224580,49852801,Inactive,unstable,24,QC'd by NCATS
124398558,53257140,Inactive,unstable,24,QC'd by NCATS
161004041,70789382,Inactive,unstable,24,QC'd by NCATS
161004052,2304856,Inactive,unstable,24,QC'd by NCATS
172113105,72710616,Inactive,unstable,24,QC'd by NCATS
160844023,1079725,Inactive,unstable,24,QC'd by NCATS
377712436,946390,Inactive,unstable,24,QC'd by NCATS
160844081,70701442,Inactive,unstable,24,QC'd by NCATS
161004089,70789449,Inactive,unstable,24,QC'd by NCATS
162010104,71296004,Inactive,unstable,24,QC'd by NCATS
170466905,72187558,Inactive,unstable,24,QC'd by NCATS
161004488,70789656,Inactive,unstable,24,QC'd by NCATS
170466931,72187532,Inactive,unstable,24,QC'd by NCATS
24276516,4898908,Inactive,unstable,23.99,QC'd by NCATS
24273273,4462741,Inactive,unstable,23.93,QC'd by NCATS
375819053,137299536,Inactive,unstable,23.89,QC'd by NCATS
377713488,42654366,Inactive,unstable,23.8,QC'd by NCATS
377713067,42654528,Inactive,unstable,23.8,QC'd by NCATS
384569238,72714058,Inactive,unstable,23.78,QC'd by NCATS
377661932,868286,Inactive,unstable,23.77,QC'd by NCATS
24414466,16033939,Inactive,unstable,23.67,QC'd by NCATS
375814992,134787910,Inactive,unstable,23.64,QC'd by NCATS
174006887,54685215,Inactive,unstable,23.58,QC'd by NCATS
363679199,60202647,Inactive,unstable,23.46,QC'd by NCATS
363680173,57748689,Inactive,unstable,23.41,QC'd by NCATS
375818692,137299525,Inactive,unstable,23.38,QC'd by NCATS
137276057,57519531,Inactive,unstable,23.17,QC'd by NCATS
363679158,117637389,Inactive,unstable,23.13,QC'd by NCATS
375881590,70777500,Inactive,unstable,23.07,QC'd by NCATS
7977061,1177165,Inactive,unstable,23,QC'd by NCATS
7971055,3596188,Inactive,unstable,23,QC'd by NCATS
24414477,16033949,Inactive,unstable,23,QC'd by NCATS
99367988,46907708,Inactive,unstable,23,QC'd by NCATS
161003938,70789414,Inactive,unstable,23,QC'd by NCATS
161004002,70789416,Inactive,unstable,23,QC'd by NCATS
161004048,70789502,Inactive,unstable,23,QC'd by NCATS
163827022,71660754,Inactive,unstable,23,QC'd by NCATS
172113112,72710615,Inactive,unstable,23,QC'd by NCATS
161004103,70789542,Inactive,unstable,23,QC'd by NCATS
161004129,17361469,Inactive,unstable,23,QC'd by NCATS
161004162,70789541,Inactive,unstable,23,QC'd by NCATS
161004473,70789668,Inactive,unstable,23,QC'd by NCATS
164755759,71771098,Inactive,unstable,23,QC'd by NCATS
174006294,24762166,Inactive,unstable,23,QC'd by NCATS
375887302,134807770,Inactive,unstable,23,QC'd by NCATS
109967257,135422895,Inactive,unstable,22.99,QC'd by NCATS
375817917,137299452,Inactive,unstable,22.9,QC'd by NCATS
134225088,56593335,Inactive,unstable,22.81,QC'd by NCATS
24414538,16033976,Inactive,unstable,22.73,QC'd by NCATS
24269957,15989530,Inactive,unstable,22.7,QC'd by NCATS
363681205,72710568,Inactive,unstable,22.63,QC'd by NCATS
375886982,134807450,Inactive,unstable,22.5,QC'd by NCATS
377675320,621867,Inactive,unstable,22.38,QC'd by NCATS
375850553,71829149,Inactive,unstable,22.38,QC'd by NCATS
384568724,1285940,Inactive,unstable,22.25,QC'd by NCATS
377660839,20919964,Inactive,unstable,22.2,QC'd by NCATS
363679170,90216621,Inactive,unstable,22.16,QC'd by NCATS
24266966,5302298,Inactive,unstable,22.12,QC'd by NCATS
363676592,392622,Inactive,unstable,22.08,QC'd by NCATS
4239176,3234283,Inactive,unstable,22,QC'd by NCATS
384568074,1357397,Inactive,unstable,22,QC'd by NCATS
124391172,53255391,Inactive,unstable,22,QC'd by NCATS
161004060,70789344,Inactive,unstable,22,QC'd by NCATS
163827010,71660767,Inactive,unstable,22,QC'd by NCATS
172113119,72710614,Inactive,unstable,22,QC'd by NCATS
170466902,72187553,Inactive,unstable,22,QC'd by NCATS
161004461,70789648,Inactive,unstable,22,QC'd by NCATS
161004169,70789527,Inactive,unstable,22,QC'd by NCATS
161004471,32874585,Inactive,unstable,22,QC'd by NCATS
375888288,134808756,Inactive,unstable,22,QC'd by NCATS
375887892,134808360,Inactive,unstable,21.92,QC'd by NCATS
174006763,25227462,Inactive,unstable,21.91,QC'd by NCATS
375814617,134791156,Inactive,unstable,21.83,QC'd by NCATS
137275834,9884685,Inactive,unstable,21.83,QC'd by NCATS
377020183,25169383,Inactive,unstable,21.81,QC'd by NCATS
124398492,619526,Inactive,unstable,21.77,QC'd by NCATS
363680433,73777259,Inactive,unstable,21.75,QC'd by NCATS
375885021,134805490,Inactive,unstable,21.65,QC'd by NCATS
26754607,73549,Inactive,unstable,21.31,QC'd by NCATS
363681118,73051434,Inactive,unstable,21.27,QC'd by NCATS
144205245,2118,Inactive,unstable,21.25,QC'd by NCATS
377020289,53328059,Inactive,unstable,21.24,QC'd by NCATS
99367975,46907758,Inactive,unstable,21.15,QC'd by NCATS
124953156,220995,Inactive,unstable,21.1,QC'd by NCATS
22401763,9616943,Inactive,unstable,21,QC'd by NCATS
4238077,3233188,Inactive,unstable,21,QC'd by NCATS
4258925,763700,Inactive,unstable,21,QC'd by NCATS
174007302,9934458,Inactive,unstable,21,QC'd by NCATS
99431327,46926050,Inactive,unstable,21,QC'd by NCATS
124398526,53257139,Inactive,unstable,21,QC'd by NCATS
136889451,57383414,Inactive,unstable,21,QC'd by NCATS
144116969,60167918,Inactive,unstable,21,QC'd by NCATS
144116971,60167866,Inactive,unstable,21,QC'd by NCATS
160844028,70701399,Inactive,unstable,21,QC'd by NCATS
162010094,71296014,Inactive,unstable,21,QC'd by NCATS
377714205,3163563,Inactive,unstable,21,QC'd by NCATS
160844079,70701437,Inactive,unstable,21,QC'd by NCATS
160844092,70701361,Inactive,unstable,21,QC'd by NCATS
161004107,70789346,Inactive,unstable,21,QC'd by NCATS
170363364,72183108,Inactive,unstable,21,QC'd by NCATS
164755774,71771078,Inactive,unstable,21,QC'd by NCATS
174315286,42992585,Inactive,unstable,21,QC'd by NCATS
24391630,6485805,Inactive,unstable,20.99,QC'd by NCATS
375847672,136665423,Inactive,unstable,20.94,QC'd by NCATS
124877793,3246294,Inactive,unstable,20.92,QC'd by NCATS
363677800,71577426,Inactive,unstable,20.88,QC'd by NCATS
375861567,53299062,Inactive,unstable,20.68,QC'd by NCATS
375890161,134810628,Inactive,unstable,20.67,QC'd by NCATS
384568571,3474778,Inactive,unstable,20.67,QC'd by NCATS
24268804,15988620,Inactive,unstable,20.55,QC'd by NCATS
170466426,11647992,Inactive,unstable,20.5,QC'd by NCATS
87915650,7601970,Inactive,unstable,20.48,QC'd by NCATS
375875666,46990893,Inactive,unstable,20.42,QC'd by NCATS
375885834,134806302,Inactive,unstable,20.4,QC'd by NCATS
4240971,707153,Inactive,unstable,20.37,QC'd by NCATS
90419362,44887534,Inactive,unstable,20.31,QC'd by NCATS
377695579,20963222,Inactive,unstable,20.28,QC'd by NCATS
375869843,71582801,Inactive,unstable,20.26,QC'd by NCATS
24270817,15990190,Inactive,unstable,20.13,QC'd by NCATS
24271658,15990919,Inactive,unstable,20.08,QC'd by NCATS
170464841,3559,Inactive,unstable,20.05,QC'd by NCATS
4239532,3234639,Inactive,unstable,20,QC'd by NCATS
24273324,1321124,Inactive,unstable,20,QC'd by NCATS
24393810,16016037,Inactive,unstable,20,QC'd by NCATS
104224579,49853258,Inactive,unstable,20,QC'd by NCATS
124398567,53257120,Inactive,unstable,20,QC'd by NCATS
172113100,43462960,Inactive,unstable,20,QC'd by NCATS
161004053,16556940,Inactive,unstable,20,QC'd by NCATS
377700024,49808485,Inactive,unstable,20,QC'd by NCATS
161004085,70789455,Inactive,unstable,20,QC'd by NCATS
172113115,72710612,Inactive,unstable,20,QC'd by NCATS
160844098,70701421,Inactive,unstable,20,QC'd by NCATS
170363368,72183100,Inactive,unstable,20,QC'd by NCATS
161004143,70789556,Inactive,unstable,20,QC'd by NCATS
161004161,70789450,Inactive,unstable,20,QC'd by NCATS
161004453,70789661,Inactive,unstable,20,QC'd by NCATS
161004165,70789499,Inactive,unstable,20,QC'd by NCATS
161004170,70789452,Inactive,unstable,20,QC'd by NCATS
161004499,70789697,Inactive,unstable,20,QC'd by NCATS
170466930,3231830,Inactive,unstable,20,QC'd by NCATS
24404248,16025807,Inactive,unstable,19.93,QC'd by NCATS
134225118,56593309,Inactive,unstable,19.85,QC'd by NCATS
104224706,49853265,Inactive,unstable,19.83,QC'd by NCATS
375886329,134806797,Inactive,unstable,19.69,QC'd by NCATS
375813463,134791361,Inactive,unstable,19.63,QC'd by NCATS
89650098,44142150,Inactive,unstable,19.58,QC'd by NCATS
377703270,3159463,Inactive,unstable,19.58,QC'd by NCATS
3714981,2168035,Inactive,unstable,19.52,QC'd by NCATS
134225113,56593322,Inactive,unstable,19.5,QC'd by NCATS
375889184,134809651,Inactive,unstable,19.5,QC'd by NCATS
375884538,134805007,Inactive,unstable,19.46,QC'd by NCATS
363681103,71226662,Inactive,unstable,19.35,QC'd by NCATS
99367925,46907715,Inactive,unstable,19.33,QC'd by NCATS
384569221,9196193,Inactive,unstable,19.2,QC'd by NCATS
170465931,636411,Inactive,unstable,19.19,QC'd by NCATS
375838471,75466029,Inactive,unstable,19.09,QC'd by NCATS
4244892,586278,Inactive,unstable,19,QC'd by NCATS
160844055,70701362,Inactive,unstable,19,QC'd by NCATS
162010099,71296008,Inactive,unstable,19,QC'd by NCATS
161004094,70789482,Inactive,unstable,19,QC'd by NCATS
170466903,72187546,Inactive,unstable,19,QC'd by NCATS
