index,smiles,half-life
488,CC1=CC(=CC(=N1)C)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,30.0
501,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)OC(F)(F)F)F,30.0
754,COC1=C(C=CN=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,30.0
761,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=C(C=CC=C4F)F,29.0
773,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)O)F,28.0
774,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)OCC(F)(F)F)F,28.0
802,COC1=C(C=CN=C1OC)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,26.0
902,CC1=NC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,22.0
904,COC1=C(C=CC(=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)NS(=O)(=O)C,22.0
971,C1=CC=C2C(=C1)C(=NC(=N2)C3=C(C=NC=C3)F)NC4=CC(=C(C=C4)F)F,20.0
994,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=CC=C4)OC(F)(F)F,19.0
998,C1=CC=C2C(=C1)C(=NC(=N2)C3=C(C=NC=C3)Cl)NC4=CC(=C(C=C4)F)F,19.0
1057,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C(F)(F)F)F,17.0
1125,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=CC(=C4)F)F,15.0
1126,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)Cl)Cl,15.0
1131,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC(=NC=C3)N)NC4=CC(=C(C=C4)F)F,15.0
1213,CN(C)C1=NC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,13.0
1246,COC1=C(C=CC(=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)Cl,12.0
1247,CC1=C(C=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)F,12.0
1248,CC(=O)NC1=NC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,12.0
1278,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC=CC=C4Cl,11.0
1279,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=C(C(=CC=C4)F)F,11.0
1336,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=C(C=CC(=C4)F)F,10.0
1338,CC1=C(C=CN=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,10.0
1352,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)F)F,9.82
1366,COC1=C(C=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)F,9.7
1376,COC1=C(C=CC(=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)C(=O)OC,9.5
1460,CNC1=NC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,8.2
1477,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC=CC=C4F,7.9
1493,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=CC=C4)Cl,7.7
1524,COC1=C(C=CC(=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)F,7.35
1596,C1=CC=C2C(=C1)C(=NC(=N2)C3=C(C=NC=C3)C#N)NC4=CC(=C(C=C4)F)F,6.4
1798,COC1=CC=CC(=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,4.3
403,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC(=CC=C4)Cl,30.0
406,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=C(C=C4)Cl,30.0
407,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC(=C(C=C4)Cl)Cl,30.0
408,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=C(C=C4)F,30.0
470,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)C#N,30.0
491,C1=CC(=CC=C1C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)F)F,30.0
492,C1=CC=C(C(=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=C(C=C4)F)Cl,30.0
788,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC(=CC=C4)F,27.0
818,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)N,25.0
969,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)F,20.0
972,CC1=C(C=CC(=C1)F)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,20.0
973,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)C(F)(F)F,20.0
999,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=C(C=C(C=C4)F)Cl,19.0
1017,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)Cl,18.17
1090,COC1=CC=CC=C1S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,16.0
1134,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC=C4Cl,14.97
1147,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,14.33
1166,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC(=C4)C#N,14.0
1167,CC1=CC=CC=C1S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,14.0
1206,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl,13.0
1211,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC=C4,13.0
1282,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC(=C(C=C4)F)F,11.0
1347,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4F,9.9
