index,smiles,half-life
162,Cc1noc(-c2cn(C3CCN(C(=O)c4ccccc4)C3)nn2)n1,120.0
73,CN1CCC(OC2CCN(C(=O)c3cccc(F)c3)CC2)CC1,120.0
161,CN1CCC(OC2CCN(C(=O)c3ccccc3)CC2)CC1,120.0
72,N#Cc1cccc(-c2cn3c(n2)N(C(=O)c2cccs2)CCC3)c1,120.0
160,COc1cccc(-c2cn3c(n2)N(C(=O)c2cccs2)CCC3)c1,120.0
71,N#Cc1ccc(CN2CCC(N3Cc4cccn4C3=O)CC2)cc1,120.0
159,COc1ccc(CN2CCC(N3Cc4cccn4C3=O)CC2)cc1,120.0
70,Cc1nnc([C@H]2CCN(Cc3ccc(C#N)cc3)C2)o1,120.0
158,COc1ccc(CN2CC[C@H](c3nnc(C)o3)C2)cc1,120.0
67,O=C(Nc1ncc(-c2cccc(F)c2)c2c1OCC2)c1ccncc1,120.0
155,O=C(Nc1ncc(-c2ccccc2)c2c1OCC2)c1ccncc1,120.0
66,CN(CC1CCOC1)C(=O)Nc1cccc(F)c1,120.0
154,CN(CC1CCOC1)C(=O)Nc1ccccc1,120.0
65,O=C(c1ccncc1)N1CCC(Oc2cccc(F)c2)C1,120.0
153,O=C(c1ccncc1)N1CCC(Oc2ccccc2)C1,120.0
64,O=C(N1CCN([S+](=O)([O-])c2cccc(F)c2)CC1)N1CC2CC(C1)[C@H]1CCCC(=O)N1C2,120.0
152,O=C(N1CCN([S+](=O)([O-])c2ccccc2)CC1)N1CC2CC(C1)[C@H]1CCCC(=O)N1C2,120.0
62,N#Cc1cncc(N2CC3CCC(C2)N3CC(F)(F)F)c1,120.0
150,COc1cncc(N2CC3CCC(C2)N3CC(F)(F)F)c1,120.0
61,N#Cc1ccc(CN2CCC3(CC2)CC(=O)c2ccccc2O3)cc1,120.0
149,COc1ccc(CN2CCC3(CC2)CC(=O)c2ccccc2O3)cc1,120.0
60,N#Cc1ccc(CN2CCC3(C2)NC(=O)c2ccccc2O3)cc1,120.0
148,COc1ccc(CN2CCC3(C2)NC(=O)c2ccccc2O3)cc1,120.0
58,N#Cc1ccc(CN2CCC(N3CCOC3=O)CC2)cc1,120.0
146,COc1ccc(CN2CCC(N3CCOC3=O)CC2)cc1,120.0
57,C[C@@]1(O)CCN(Cc2ccc(C#N)cc2)C[C@H]1N1CCCC1,120.0
145,COc1ccc(CN2CC[C@@](C)(O)[C@H](N3CCCC3)C2)cc1,120.0
56,COCCNC(=O)c1nc2sccn2c1-c1cccc(C#N)c1,120.0
144,COCCNC(=O)c1nc2sccn2c1-c1cccc(OC)c1,120.0
55,COC(=O)[C@@H]1Cc2ncn(C)c2CN1C(=O)c1ccc(C#N)cc1,120.0
143,COC(=O)[C@@H]1Cc2ncn(C)c2CN1C(=O)c1ccc(OC)cc1,120.0
53,O=C(c1cccc(F)c1)N1CCC(Oc2cccnc2)C1,120.0
141,O=C(c1ccccc1)N1CCC(Oc2cccnc2)C1,120.0
52,CCN1CCN(C(=O)c2nc3sccn3c2-c2cccc(C#N)c2)CC1,120.0
140,CCN1CCN(C(=O)c2nc3sccn3c2-c2cccc(OC)c2)CC1,120.0
