index,smiles,half-life
902,Cc1cc(-c2nc(Nc3ccc(F)c(F)c3)c3ccccc3n2)ccn1,22.0
904,COc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1NS(C)(=O)=O,22.0
971,Fc1ccc(Nc2nc(-c3ccncc3F)nc3ccccc23)cc1F,20.0
994,FC(F)(F)Oc1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1,19.0
998,Fc1ccc(Nc2nc(-c3ccncc3Cl)nc3ccccc23)cc1F,19.0
1057,Fc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1C(F)(F)F,17.0
1125,Fc1cc(F)cc(Nc2nc(-c3ccncc3)nc3ccccc23)c1,15.0
1126,Clc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1Cl,15.0
1131,Nc1cc(-c2nc(Nc3ccc(F)c(F)c3)c3ccccc3n2)ccn1,15.0
1213,CN(C)c1cc(-c2nc(Nc3ccc(F)c(F)c3)c3ccccc3n2)ccn1,13.0
1246,COc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1Cl,12.0
1247,Cc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1F,12.0
1248,CC(=O)Nc1cc(-c2nc(Nc3ccc(F)c(F)c3)c3ccccc3n2)ccn1,12.0
1278,Clc1ccccc1Nc1nc(-c2ccncc2)nc2ccccc12,11.0
1279,Fc1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1F,11.0
1336,Fc1ccc(F)c(Nc2nc(-c3ccncc3)nc3ccccc23)c1,10.0
1338,Cc1cnccc1-c1nc(Nc2ccc(F)c(F)c2)c2ccccc2n1,10.0
1352,Fc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1F,9.82
1366,COc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1F,9.7
1376,COC(=O)c1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1OC,9.5
1460,CNc1cc(-c2nc(Nc3ccc(F)c(F)c3)c3ccccc3n2)ccn1,8.2
1477,Fc1ccccc1Nc1nc(-c2ccncc2)nc2ccccc12,7.9
1493,Clc1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1,7.7
1524,COc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1F,7.35
1596,N#Cc1cnccc1-c1nc(Nc2ccc(F)c(F)c2)c2ccccc2n1,6.4
1798,COc1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1,4.3
403,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3cccc(Cl)c3)cs2)cc1,30.0
406,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,30.0
407,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,30.0
408,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccc(F)cc3)cs2)cc1,30.0
470,N#Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,30.0
491,O=C(Nc1nc(-c2ccc(F)cc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)cc1,30.0
492,O=C(Nc1nc(-c2ccc(F)cc2)cs1)c1ccncc1NS(=O)(=O)c1ccccc1Cl,30.0
788,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3cccc(F)c3)cs2)cc1,27.0
818,Nc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,25.0
969,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)cc1,20.0
972,Cc1cc(F)ccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,20.0
973,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1,20.0
999,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)cc1Cl,19.0
1017,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(Cl)cc1,18.17
1090,COc1ccccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,16.0
1134,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccccc1Cl,14.97
1147,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,14.33
1166,N#Cc1cccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)c1,14.0
1167,Cc1ccccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,14.0
1206,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc1,13.0
1211,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccccc1,13.0
1282,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)c(F)c1,11.0
1347,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3F)cs2)cc1,9.9
1527,Cc1ccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)cc1,7.3
1550,N#Cc1ccccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,7.0
1551,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccccc1F,7.0
1569,COc1cccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)c1,6.7
1589,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)cc1F,6.5
1629,Cc1cccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)c1,6.0
1654,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3cccc(C)c3)cs2)cc1,5.8
1665,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1c(F)cc(F)cc1F,5.7
1736,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1cccc(Cl)c1,5.0
1767,COc1ccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)cc1,4.7
1788,CCc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,4.4
1923,CCCc1ccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)cc1,3.3
2168,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccc(C)c(C)c3)cs2)cc1,2.1
2240,COc1cccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)c1,1.85
2375,COc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,1.6
219,Cc1ccnc(NC(=S)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)c1,30.0
228,Cc1ccnc(NC(=S)N2CCN(c3ccc(N)cc3)CC2)c1,30.0
243,Cc1cc(C)nc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)CC2)c1,30.0
244,FC(F)(F)c1ccc(N2CCN(C(=S)Nc3ccccn3)CC2)cc1,30.0
245,COC(=O)c1ccnc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)CC2)c1,30.0
260,Cc1cc(C)nc(NC(=S)N2CCN(c3ccc(F)cc3F)CC2)c1,30.0
262,Cc1cc(C)nc(NC(=S)N2CCN(c3ccc(C(F)(F)F)cc3[N+](=O)[O-])CC2)c1,30.0
272,Cc1ccnc(NC(=S)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)c1,30.0
273,Cc1ccnc(NC(=S)N2CCN(c3ccc(Cl)cc3Cl)CC2)c1,30.0
274,Cc1ccnc(NC(=S)N2CCN(c3ccc(C(F)(F)F)cc3[N+](=O)[O-])CC2)c1,30.0
276,COc1ccnc(NC(=S)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)c1,30.0
