mol_idx,smiles,half-life,published
71,N#Cc1ccc(CN2CCC(N3Cc4cccn4C3=O)CC2)cc1,0.9999999999999999,2018
72,N#Cc1cccc(-c2cn3c(n2)N(C(=O)c2cccs2)CCC3)c1,0.9999999999999999,2011
73,CN1CCC(OC2CCN(C(=O)c3cccc(F)c3)CC2)CC1,0.9999999999999999,2015
74,Cc1noc(-c2cn(C3CCN(C(=O)c4cccc(F)c4)C3)nn2)n1,0.9999999999999999,2015
75,N#Cc1cccc(CN2CC[C@H](c3nnc(-c4ccco4)o3)C2)c1,0.9999999999999999,2011
76,N#Cc1cccc(-c2cn3c(n2)N(C(=O)c2ccoc2)CCC3)c1,0.9999999999999999,2011
77,O=C(c1cccnc1)N1CCC(Oc2cccc(F)c2)C1,0.9999999999999999,2016
78,O=C(O)c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1,0.9999999999999999,2018
79,O=C(O)c1ccc2c(c1)n(Cc1cccc(F)c1)c(=O)c1ccnn12,0.9999999999999999,2015
80,N#Cc1ccc(C(=O)N2CCCOCCNC(=O)CC2)cc1,0.9999999999999999,2016
81,CN1c2cc(C(=O)Nc3ccc(C#N)cc3)ccc2C(=O)N2CCCCC21,0.9999999999999999,2015
82,CCN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,0.9999999999999999,2011
83,CCN1CCN(C(=O)c2cc(-c3ccc(F)cc3)nc3c2cnn3C)CC1,0.9999999999999999,2018
84,CCN1CCN(C(=O)c2cc(-c3ccccc3OC)c3nncn3n2)CC1,0.9999999999999999,2018
85,CCN1CCN(C(=O)c2cc(-c3cccnc3)nc3c2cnn3C)CC1,0.9999999999999999,2018
86,CCN1CCN(C(=O)c2ccc3nccn3c2)CC1,0.9999999999999999,2016
87,CC1(c2ccccc2)N(Cc2ccccc2)C(=O)OC12CCN(Cc1cccc(C#N)c1)CC2,0.9999999999999999,2018
88,Cc1nn2c(c1-c1ccccc1Oc1ccccc1)N(Cc1cccc(C#N)c1)CCC2,0.9999999999999999,2018
89,CCN1CCN(C(=O)C2Cn3cccc3C(=O)N2CC(C)C)CC1,0.9999999999999999,2015
90,O=C(NCCc1cnc[nH]1)c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1,0.06494661921708185,2018
91,Cc1cc2cc(-c3c(C)noc3C)nc(Nc3ccccc3)c2o1,0.24911032028469748,2018
92,CN(Cc1ccccc1)C1CCOc2ccccc21,0.0,2018
93,c1ccc(-c2cnc(Nc3cncnc3)c3c2CCO3)cc1,0.024021352313167266,2018
94,O=C(c1ccc(-c2ncc3cnc(-c4ccccc4)cn23)cc1)N1CCc2cccnc21,0.050711743772241996,2018
95,COc1cccc(-c2c(C(=O)Nc3ccc(C)cc3)nc3sccn23)c1,0.7597864768683273,2018
96,O=C(c1cccs1)N1CCC(Oc2ccccc2)C1,0.2731316725978647,2016
97,c1ccc(-c2noc(-c3nc(-c4ccncc4)no3)n2)cc1,0.16103202846975084,2014
98,Cn1ccc(NC(=O)c2ccc(-c3ncc4cnc(-c5ccccc5)cn34)cc2)n1,0.21886120996441283,2018
99,COc1ccc(CN2CC(Oc3ccc(F)cc3C)C2)cc1,0.1192170818505338,2018
