index,smiles,half-life
11,N#Cc1ccc(CN2CCC3(COc4ccccc4C(=O)N3)C2)cc1,38.4
125,COc1ccc(CN2CCC(N3CCNC3=O)CC2)cc1,120.0
139,COc1ccc(C(=O)N2CCOC[C@H](Oc3cnccn3)C2)cc1,120.0
137,COc1cccc(-c2c(C(=O)N3CCOCC3)nc3sccn23)c1,120.0
1,Cc1cc2cc(-c3c(C)noc3C)nc(Nc3cccc(F)c3)c2o1,8.2
170,CN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,120.0
144,COCCNC(=O)c1nc2sccn2c1-c1cccc(OC)c1,120.0
71,N#Cc1ccc(CN2CCC(N3Cc4cccn4C3=O)CC2)cc1,120.0
102,O=C(O)c1ccc(CN2CC(COc3ccccc3)C3(C2)CN(c2ccccc2)C3)cc1,120.0
65,O=C(c1ccncc1)N1CCC(Oc2cccc(F)c2)C1,120.0
45,Cn1cnc2ccc(Nc3cccc(F)c3)nc2c1=O,115.2
114,COc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,30.0
29,CC(=O)N1CCC(Cc2ccc(C(=O)NC3CC3)cc2)CC1,80.1
41,CCOc1cc(=O)n2c(c1C(=O)Nc1ccc(C#N)cc1)CCCC2,101.4
146,COc1ccc(CN2CCC(N3CCOC3=O)CC2)cc1,120.0
147,c1ccc(-c2cnc(Nc3cccnc3)c3c2CCO3)cc1,120.0
26,O=C(NC1CC1)c1ccc(-c2ccc(N3CCCCCC3)nc2)cc1,76.2
24,N#Cc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,71.4
142,COCCOC1CCN(C(=O)Nc2ccccc2)CC1,120.0
82,CCN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,120.0
80,N#Cc1ccc(C(=O)N2CCCOCCNC(=O)CC2)cc1,120.0
85,CCN1CCN(C(=O)c2cc(-c3cccnc3)nc3c2cnn3C)CC1,120.0
40,N#Cc1ccc(CN2CC(N3CCc4ccccc43)C2)cc1,96.8
119,COc1cncc(Nc2ncc(-c3ccccc3)c3c2OCC3)c1,120.0
