mol id,smiles,Standard Type,halflife
CHEMBL4861945,COc1cc(F)cc([C@H](NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)C(C)O)c1,T1/2,0.08333
CHEMBL4870129,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5ccnn5C)ncc4Cl)cc3C2=O)c1,T1/2,0.2167
CHEMBL1504,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,T1/2,0.2
CHEMBL4782356,O=C1CCC(N2C(=O)c3cccc(NCCOCCOCCNC(=O)c4ccc5c(c4)nc(Nc4cccc(Cl)c4)c4ccncc45)c3C2=O)C(=O)N1,T1/2,0.2433
CHEMBL549671,CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1,T1/2,0.08333
CHEMBL87543,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,T1/2,0.465
CHEMBL1370,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,T1/2,0.1833
CHEMBL297302,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,T1/2,0.055
CHEMBL4873400,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5COC5)ncc4Cl)cc3C2=O)c1,T1/2,0.8333
CHEMBL4166057,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nc(CO)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,T1/2,0.2667
CHEMBL1630022,CCOc1nc(N)nc2c1ncn2[C@@H]1O[C@@H]2CO[P@](=O)(OC(C)C)O[C@H]2[C@@]1(C)F,T1/2,1.267
CHEMBL4781380,O=C(COc1c(-c2csc(N3CCOCC3)n2)ccc(F)c1F)NCCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,T1/2,0.02833
CHEMBL4867689,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ncc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,T1/2,0.3833
CHEMBL4780735,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCNC(=O)COc2c(-c3csc(N4CCOCC4)n3)ccc(F)c2F)C(C)(C)C)cc1,T1/2,0.02833
CHEMBL1512,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,T1/2,0.2667
CHEMBL4874698,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(C(N)=O)CC1)c1ccc(Cl)cc1,T1/2,6.0
CHEMBL4870176,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5ccnc(OC)c5)ncc4Cl)cc3C2=O)c1,T1/2,0.45
CHEMBL4873851,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4ccnc(NC5CCOCC5)n4)cc3C2=O)c1,T1/2,0.8167
CHEMBL1473,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,T1/2,0.01433
CHEMBL4859962,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cn1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1,T1/2,1.05
CHEMBL4865318,Cc1cccc([C@@H](CO)NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,T1/2,0.1667
