PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,"Phenotype (Unstable (<30 min), Stable (>30 min))",Half-life,Compound QC
375801900,71694304,Active,Stable,113.1,QC'ed NCATS
375828887,110203394,Inactive,Stable,120,QC'ed NCATS
375805447,56775912,Inactive,Stable,120,QC'ed NCATS
375814537,134790109,Active,Stable,36.3,QC'ed NCATS
375806409,26744792,Active,Stable,102.3,QC'ed NCATS
375860250,110196209,Inactive,Stable,120,QC'ed NCATS
375813380,134790083,Active,Unstable,30,QC'ed NCATS
375887142,134807610,Active,Stable,51.4,QC'ed NCATS
375852675,91904106,Inactive,Stable,120,QC'ed NCATS
375867035,110197928,Active,Stable,70,QC'ed NCATS
375846913,90488096,Inactive,Stable,120,QC'ed NCATS
375887329,134807797,Inactive,Stable,120,QC'ed NCATS
375834342,110203408,Inactive,Stable,120,QC'ed NCATS
375854227,110196203,Active,Stable,40,QC'ed NCATS
375834962,110203619,Inactive,Stable,120,QC'ed NCATS
375886240,134806708,Inactive,Stable,120,QC'ed NCATS
375885302,134805770,Active,Unstable,18.5,QC'ed NCATS
375814659,134789230,Inactive,Stable,120,QC'ed NCATS
375885470,134805938,Inactive,Stable,120,QC'ed NCATS
375809018,56775986,Inactive,Stable,120,QC'ed NCATS
375823532,134797122,Inactive,Stable,120,QC'ed NCATS
375813108,134789717,Active,Stable,82,QC'ed NCATS
375847714,91904521,Inactive,Stable,120,QC'ed NCATS
375823710,134800233,Active,Stable,113.7,QC'ed NCATS
375839444,110202724,Inactive,Stable,120,QC'ed NCATS
375874965,56915820,Inactive,Stable,120,QC'ed NCATS
375890453,134810920,Inactive,Stable,120,QC'ed NCATS
375887684,134808152,Inactive,Stable,120,QC'ed NCATS
375888078,134808546,Inactive,Stable,120,QC'ed NCATS
375823531,134796309,Inactive,Stable,120,QC'ed NCATS
375808548,51137118,Inactive,Stable,120,QC'ed NCATS
375808763,75536896,Inactive,Stable,120,QC'ed NCATS
375823594,134796153,Inactive,Stable,120,QC'ed NCATS
375862225,110196238,Inactive,Stable,120,QC'ed NCATS
375854090,91918290,Inactive,Stable,120,QC'ed NCATS
375809404,26745533,Inactive,Stable,120,QC'ed NCATS
375824493,134797374,Inactive,Stable,120,QC'ed NCATS
375860302,87053316,Inactive,Stable,120,QC'ed NCATS
375813758,134788925,Inactive,Stable,120,QC'ed NCATS
375888609,134809077,Inactive,Stable,120,QC'ed NCATS
375819014,134793982,Inactive,Stable,120,QC'ed NCATS
375819777,126468336,Inactive,Stable,120,QC'ed NCATS
375811663,134791445,Inactive,Stable,120,QC'ed NCATS
375843987,91907790,Inactive,Stable,120,QC'ed NCATS
375844121,134804210,Inactive,Stable,120,QC'ed NCATS
375854213,91919420,Inactive,Stable,120,QC'ed NCATS
375868488,110875802,Inactive,Stable,120,QC'ed NCATS
375890809,134811276,Inactive,Stable,120,QC'ed NCATS
375853292,110202586,Inactive,Stable,120,QC'ed NCATS
375815044,134791183,Inactive,Stable,120,QC'ed NCATS
375804070,51137150,Inactive,Stable,120,QC'ed NCATS
375813882,134787355,Inactive,Stable,120,QC'ed NCATS
375869878,53183354,Inactive,Stable,120,QC'ed NCATS
375853880,91916310,Inactive,Stable,120,QC'ed NCATS
375842209,91919275,Inactive,Stable,120,QC'ed NCATS
375798726,51137271,Active,Stable,118.2,QC'ed NCATS
375855666,53183352,Active,Stable,111.9,QC'ed NCATS
375860222,110196196,Active,Stable,102.2,QC'ed NCATS
375890192,134810659,Active,Stable,92.3,QC'ed NCATS
375848658,91904117,Active,Stable,89,QC'ed NCATS
375865245,110201616,Active,Stable,70.1,QC'ed NCATS
375858066,87054064,Inactive,Stable,120,QC'ed NCATS
375868123,53147938,Inactive,Stable,120,QC'ed NCATS
375820895,134798674,Inactive,Stable,120,QC'ed NCATS
375823493,134796255,Inactive,Stable,120,QC'ed NCATS
375820828,134796619,Inactive,Stable,120,QC'ed NCATS
375816792,110703958,Inactive,Stable,120,QC'ed NCATS
375885310,134805778,Inactive,Stable,120,QC'ed NCATS
375832289,91919720,Active,Stable,107.3,QC'ed NCATS
406178865,146674203,Active,Stable,93.9,QC'ed NCATS
406178866,146674193,Inactive,Stable,120,QC'ed NCATS
406178867,146674199,Inactive,Stable,120,QC'ed NCATS
406178868,146674200,Inactive,Stable,120,QC'ed NCATS
406178869,146674198,Inactive,Stable,120,QC'ed NCATS
406178870,146674202,Inactive,Stable,120,QC'ed NCATS
406178871,146674194,Inactive,Stable,120,QC'ed NCATS
406178872,146674201,Inactive,Stable,120,QC'ed NCATS
406178873,146674206,Inactive,Stable,120,QC'ed NCATS
406178874,146674196,Inactive,Stable,120,QC'ed NCATS
406178875,146674197,Inactive,Stable,120,QC'ed NCATS
406178876,146674204,Active,Stable,69.5,QC'ed NCATS
406178877,146674207,Inactive,Stable,120,QC'ed NCATS
