index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
1712,COc1cccc(-c2csc(N3CCC(C(N)=O)CC3)n2)c1,0.0148583275742916,8.599,1.2926,5.8898,-7.4482,-81.9312,-82.2339
34,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3cccc(F)c3)cs2)cc1,0.9018659295093296,9.4132,2.012,7.76,-18.2243,-100.7597,-115.2394
64,Nc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,0.8327574291637871,8.3751,3.538,7.3036,-20.1673,-106.8149,-121.3498
215,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)cc1,0.6599861782999309,9.2312,2.0264,8.0225,-19.2199,-103.4995,-116.2838
218,Cc1cc(F)ccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,0.6599861782999309,10.2613,2.2022,8.4288,-18.2171,-108.4544,-119.4077
219,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1,0.6599861782999309,9.602,1.943,9.3433,-16.3728,-112.3383,-114.7558
245,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)cc1Cl,0.6254319281271596,8.4871,2.3199,7.8938,-17.6925,-100.9061,-114.1529
263,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(Cl)cc1,0.5967519004837596,8.9233,2.0153,7.2026,-18.4293,-97.0064,-108.7322
336,COc1ccccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,0.5217691776088459,9.9389,2.1999,7.6117,-19.2793,-103.9057,-117.7739
380,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccccc1Cl,0.4861782999308915,8.2427,2.0834,6.3583,-18.4328,-88.6666,-104.4471
393,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,0.4640635798203179,9.0874,1.9964,6.1267,-18.9687,-88.1609,-103.6619
412,N#Cc1cccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)c1,0.4526606772633034,9.0219,2.1193,6.6691,-24.9859,-97.801,-118.5968
413,Cc1ccccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,0.4526606772633034,9.4732,2.0987,6.4131,-18.9777,-91.0515,-103.7755
452,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc1,0.4181064270905321,9.4242,2.0764,7.2031,-17.4204,-97.4831,-110.6405
457,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccccc1,0.4181064270905321,8.6227,1.9818,6.0372,-19.9652,-87.0908,-103.9042
528,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)c(F)c1,0.3489979267449896,8.7911,2.0012,8.574,-18.4901,-106.0364,-117.431
593,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3F)cs2)cc1,0.3109882515549412,9.7706,2.0603,8.0933,-18.2102,-104.3629,-118.3493
773,Cc1ccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)cc1,0.221147201105736,9.5181,1.9626,6.2075,-17.9722,-88.9891,-103.2488
796,N#Cc1ccccc1S(=O)(=O)Nc1cnccc1C(=O)Nc1nc(-c2ccccc2)cs1,0.2107809260539046,8.7715,2.1577,6.6575,-24.9742,-97.6322,-120.417
797,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccccc1F,0.2107809260539046,8.4843,2.1512,7.1783,-19.2241,-94.8632,-111.9338
815,COc1cccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)c1,0.2004146510020732,10.2285,2.1582,8.0815,-19.2776,-108.6999,-121.0421
835,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)cc1F,0.193503800967519,8.6523,2.3296,8.5598,-18.4915,-105.3068,-119.8384
875,Cc1cccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)c1,0.1762266758811334,9.2105,2.1029,6.3272,-18.9785,-90.0024,-103.0316
900,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3cccc(C)c3)cs2)cc1,0.1693158258465791,9.5065,1.9628,6.2288,-17.9711,-89.2578,-103.448
911,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1c(F)cc(F)cc1F,0.165860400829302,8.001,2.1687,8.8695,-17.7568,-105.3418,-123.0878
982,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1cccc(Cl)c1,0.1416724257083621,8.6842,1.923,6.8905,-18.4368,-93.463,-106.0825
1013,COc1ccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)cc1,0.1313061506565307,10.655,1.9392,8.1105,-18.2816,-108.5915,-119.5926
1034,CCc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,0.1209398756046993,10.1094,2.0682,6.8497,-17.8512,-96.3542,-107.1011
1169,CCCc1ccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)cc1,0.0829302004146509,10.8668,1.9417,6.9642,-15.7488,-97.5647,-105.6147
1414,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccc(C)c(C)c3)cs2)cc1,0.0414651002073254,10.4461,2.1141,6.8827,-16.9703,-96.3767,-106.0269
1486,COc1cccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)c1,0.0328265376641326,10.3566,1.8966,7.8009,-18.2894,-105.2776,-117.3593
1621,COc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,0.0241879751209398,9.8338,1.98,7.4455,-19.2818,-101.9214,-118.0203
7,Fc1cccc(F)c1Nc1nc(-c2ccncc2)nc2ccccc12,0.9709744298548724,7.3445,0.8754,5.7206,-18.7472,-74.254,-88.8217
19,Oc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1F,0.9364201796821008,7.4502,1.6993,6.037,-19.825,-83.3054,-97.9607
20,Fc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1OCC(F)(F)F,0.9364201796821008,9.8203,0.6862,8.6703,-15.0937,-102.9681,-96.1144
48,COc1nccc(-c2nc(Nc3ccc(F)c(F)c3)c3ccccc3n2)c1OC,0.8673116793365584,9.739,0.6745,7.9427,-17.3734,-99.4193,-98.7278
148,Cc1cc(-c2nc(Nc3ccc(F)c(F)c3)c3ccccc3n2)ccn1,0.7290946786454734,8.1872,0.6568,5.7477,-17.7448,-76.8253,-86.9369
150,COc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1NS(C)(=O)=O,0.7290946786454734,10.4505,1.7094,7.6211,-17.9285,-108.7299,-114.3122
217,Fc1ccc(Nc2nc(-c3ccncc3F)nc3ccccc23)cc1F,0.6599861782999309,7.4324,0.6772,6.6361,-18.009,-82.1135,-91.4929
240,FC(F)(F)Oc1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1,0.6254319281271596,8.487,0.7,6.7337,-16.9419,-86.8296,-83.7239
244,Fc1ccc(Nc2nc(-c3ccncc3Cl)nc3ccccc23)cc1F,0.6254319281271596,7.1817,0.6562,5.8078,-17.2155,-75.9452,-85.7422
303,Fc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1C(F)(F)F,0.5563234277816171,8.0557,0.6702,6.9944,-15.8934,-86.0021,-90.0196
