index,smiles,half-life,published
1475,CCN1CCN(CCCOc2ccc(-c3ccccc3)cc2)CC1,7.9,2005
1445,COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,8.47,2005
1440,Ic1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,8.51,2005
1438,CC(C)(C)c1ccc(C(=O)N2CC(=O)Nc3ccc(F)cc3C2c2ccc(F)cc2)cc1,8.57,2005
1436,Cc1sc(NC(=O)Cc2ccc3c(c2)OCO3)nc1-c1ccc2c(c1)CCN2C(=O)C1CCCCC1,8.6,2005
1433,c1ccc(Nc2cc(-c3ccoc3)ncn2)cc1,8.6,2005
1432,Nc1ncnc(N2CCc3ccccc32)c1[N+](=O)[O-],8.6,2005
1428,CCOC(=O)N1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccc(F)cc2)CC1,8.7,2005
1427,Cc1ccc(-c2[nH]n3c(=O)c4c(nc3c2C)CCCC4)cc1,8.72,2005
1444,O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(S(=O)(=O)N2CCOCC2)c1,8.47,2005
1571,CCCCCOc1ccccc1/C(=C\SC)n1ccnc1,6.67,2005
1477,Fc1ccccc1Nc1nc(-c2ccncc2)nc2ccccc12,7.9,2005
1493,Clc1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1,7.7,2005
1558,Cc1ccccc1CN1C2=NCCN2C(=O)C2=C1CCN(Cc1ccccc1)C2,6.82,2005
1556,CCc1nc2c(sc3nc4c(cc32)COC(C)(C)C4)c(=O)n1Cc1ccco1,6.88,2005
1548,Cc1ccccc1CSc1nc2ncc(Br)cc2[nH]1,7.0,2005
1546,O=C(CSc1ccccc1)Nc1nnc(COc2ccc(Cl)cc2)s1,7.0,2005
1542,CCCn1cnc2cc(NCc3ccc(OC)cc3OC)ccc21,7.1,2005
1541,Cc1cc(C(=O)Nc2nnc(C3CCCCC3)s2)cs1,7.1,2005
465,O=C(Nc1ncc(Cc2cccc(C(F)(F)F)c2)s1)c1ccc(-c2cccc([N+](=O)[O-])c2)o1,30.0,2005
1481,COc1ccc(OC)c(-c2cc(C(=O)N3CCN(c4ncccn4)CC3)c3ccccc3n2)c1,7.87,2005
1538,CCc1ccccc1Nc1ncnc2c1cnn2-c1ccc(Cl)cc1,7.13,2005
1525,CCN(CC)CCCC(C)Nc1cc(C=Cc2ccccc2Cl)nc2cc(Cl)ccc12,7.34,2005
1516,Cc1ccc2c(c1)[nH]c1c(N3CCN(Cc4ccccc4)CC3)ncnc12,7.49,2005
471,O=S(=O)(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccc2ccccc2c1,30.0,2005
1513,N#C/C(=C\c1ccc(Sc2ccc(Cl)cc2)o1)c1nc2ccccc2[nH]1,7.56,2005
1509,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2,7.59,2005
1506,COc1ccc(S(=O)(=O)N2CCN(C(=O)C3COc4ccccc4O3)CC2)cc1,7.6,2005
1502,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,7.65,2005
1533,Cc1noc(C)c1C(=O)N1CCC2(CCCN(Cc3ccccc3)C2)CC1,7.2,2005
1715,CCOC(=O)c1c(NC(=O)CN2CCCCC2)sc2c1CCN(C(=O)OCC)C2,5.2,2005
1727,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,5.1,2005
1722,OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1,5.17,2005
710,CCOP(=O)(Cc1ccc(C(=O)Nc2ccc(Br)cc2C#N)cc1)OCC,30.0,2005
1863,Cc1cc(SCC(=O)c2ccccc2)n2ncc(-c3ccccc3)c2n1,3.77,2005
1861,CCN(CC)S(=O)(=O)c1cccc(C(=O)Nc2ccc(C#N)cc2)c1,3.8,2005
1859,CCOc1cc(CNc2ccc(O)cc2)ccc1OCc1ccc(Cl)cc1,3.84,2005
1858,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,3.84,2005
1856,NC(=O)C1CCN(c2nc(-c3ccccc3)cs2)CC1,3.88,2005
1854,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,3.89,2005
1853,COc1ccc(CNc2ccc(S(=O)(=O)Nc3nccs3)cc2)c(O)c1,3.9,2005
1849,Cc1c(O)ccc2c1OC(C)(C)CC2,3.9,2005
1840,O=C1C2=C(Nc3ccccc3SC2c2ccco2)c2ccccc21,4.01,2005
1839,CCC(Sc1nc2ccccc2c2nc(CCc3c(C)n[nH]c3C)nn12)C(=O)Nc1ccc(F)cc1,4.01,2005
1837,COC(=O)c1ccc([C@H]2c3[nH]c4ccccc4c3C[C@H](C(=O)OC)N2C(=O)CCl)cc1,4.02,2005
1836,COc1ccc(CCN2C(=O)N(c3ccc(F)cc3)C(=O)C2CC(=O)Nc2ccc(F)c(F)c2)cc1,4.04,2005
362,Nc1nccc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,30.0,2005
364,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,30.0,2005
1869,Oc1ccc(CNc2ccccc2F)c2cccnc12,3.7,2005
1875,O=C(Nc1ccc(Br)cc1)c1ccc(F)c(S(=O)(=O)NC2CCCCCC2)c1,3.66,2005
1878,COc1ccc(C2c3c(ncn(CCN4CCOCC4)c3=N)Oc3ccc4ccccc4c32)cc1OC,3.6,2005
1884,CCOC(=O)c1cc(-c2ccco2)nc2c1c(C)nn2CCC#N,3.57,2005
1955,CN1C(=O)CN=C(c2ccccc2Cl)c2cc(Cl)ccc21,3.04,2005
1953,CCCOC(=O)c1ccc(Oc2c(-c3ccc(O)cc3O)n[nH]c2C)cc1,3.04,2005
1947,NC(=O)C1CCN(c2nc(-c3ccc(Cl)cc3)cs2)CC1,3.09,2005
1944,O=C1c2ccccc2C2=Nc3ccccc3SC(c3ccccc3F)C12,3.11,2005
1933,COc1cc(C(=S)N2CCN(CCO)CC2)ccc1OCc1ccc(C)cc1,3.2,2005
1928,Oc1c(CN2CCN(c3ccccn3)CC2)cc(Cl)c2cccnc12,3.23,2005
1926,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccccc1,3.27,2005
366,O=C(O)c1ccccc1C(=O)Nc1ccc(-c2ccccc2)cc1,30.0,2005
1924,COc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C)cc2)c2ccc(C)cc2)cc1OC,3.28,2005
330,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1,30.0,2005
1905,Cc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,3.4,2005
1903,Brc1ccc(-c2csc(N3CCCCC3)n2)cc1,3.45,2005
1898,Cc1ccc(-c2nc3ccccc3o2)cc1NC(=O)COc1ccccc1,3.5,2005
1887,Oc1c(C(Nc2nccs2)c2ccc(C(F)(F)F)cc2)ccc2cccnc12,3.54,2005
338,O=C(Nc1nc(-c2ccccc2)cs1)c1ccccc1-n1cnnn1,30.0,2005
1886,Cc1cccc(Nc2nc(NCc3ccco3)c3ccccc3n2)c1,3.54,2005
1921,CCC(=O)NC(c1ccco1)c1cc(Cl)c2cccnc2c1O,3.3,2005
1720,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,5.2,2005
1833,CC(C=CC(=O)NO)=C[C@@H](C)C(=O)c1ccc(N(C)C)cc1,4.06,2005
1830,Oc1ccc(CNc2cccc(F)c2)c2cccnc12,4.1,2005
394,Cc1ccc(-c2cc(C(=O)Nc3ccncc3)c3ccccc3n2)cc1,30.0,2005
1765,COc1ccccc1NS(=O)(=O)c1cccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)c1,4.7,2005
1763,NC(=O)C1CCN(c2nc(-c3cccc4ccccc34)cs2)CC1,4.72,2005
1762,OC(CCN1CCCCC1)c1ccc(-c2ccccc2)cc1,4.73,2005
398,CCN1CCc2c(sc(NC(=O)Nc3ccc(Cl)c(Cl)c3)c2C(N)=O)C1,30.0,2005
1760,COCCNS(=O)(=O)c1cc(-c2nn3c(C)nnc3c3ccccc23)ccc1C,4.77,2005
400,NS(=O)(=O)c1ccc(NC(=O)c2cc3ncccn3n2)cc1,30.0,2005
402,Cc1ccc(S(=O)(=O)Nc2nc3ccc(C)cc3nc2Nc2ccc3c(c2)OCO3)cc1,30.0,2005
1753,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,4.87,2005
1748,CCOC(=O)N1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2cccc(C)c2)CC1,4.9,2005
1747,O=C1Nc2ccccc2/C1=C\c1ccc([N+](=O)[O-])cc1,4.92,2005
1741,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12,4.99,2005
1740,Oc1ccc(CNc2ccccc2C(F)(F)F)c2cccnc12,4.99,2005
1426,COc1cc2c(cc1NC(=O)COc1ccc(Cl)cc1)oc1ccccc12,8.77,2005
1725,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,5.13,2005
393,CC(C)c1nc2oc3c(NCCN(C)C)ncnc3c2c2c1COC(C)(C)C2,30.0,2005
1774,O=C1Nc2ccccc2/C1=C/c1ccnc2ccccc12,4.5,2005
1780,Oc1ccc(CNc2ccccc2Br)c2cccnc12,4.46,2005
390,Cn1c(=O)c2c(nc(Cl)n2Cc2ccc(Cl)cc2)n(C)c1=O,30.0,2005
1821,CCOc1ccc(NC(=O)CSC2=Nc3ccccc3C3=NC(CC(=O)NCc4cccs4)C(=O)N23)cc1,4.16,2005
1820,Cc1ccc(C(=O)Nc2nc(-c3ccccn3)cs2)cc1S(=O)(=O)N1CCOCC1,4.16,2005
1817,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,4.18,2005
1805,CCOC(=O)c1ccc(NC(=O)CSc2nc3c(cc2C#N)N2CCC3CC2)cc1,4.26,2005
1801,Cn1c2ccccc2c2c3c(c4c5ccccc5n(CCC#N)c4c21)CNC3=O,4.29,2005
1796,COc1cc(C(=O)N2CCN(c3cc(Cl)ccc3Cl)CC2)cc(OC)c1OC,4.31,2005
1793,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.34,2005
1832,CCCCN(CC)CCCNC(=O)c1ccc2c(c1)N(Cc1ccc(C)cc1)C(=O)c1ccccc1S2,4.06,2005
381,COc1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1,30.0,2005
1790,Cc1cccc(C(=O)N2CCc3cc(-c4nc(NC(=O)Cc5ccc6c(c5)OCO6)sc4C)ccc32)c1,4.4,2005
384,COc1ccc(-c2nc3ccc(C4=NNC(=O)CC4C)cc3[nH]2)cc1,30.0,2005
1784,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,4.4,2005
1783,CCC(=O)NC(c1ccc(OC)cc1)c1cc(Cl)c2cccnc2c1O,4.41,2005
1782,CNC1(c2ccccc2Cl)CCCCC1=O,4.44,2005
388,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)c3oc4ccccc4c3C)cc2)nc(C)n1,30.0,2005
389,COc1cccc(-c2nc3cc(NC(=O)c4ccc(C)c([N+](=O)[O-])c4)ccc3o2)c1,30.0,2005
382,CC(=O)c1c(C)[nH]c(C(=O)Nc2ccc(Cl)cc2)c1C,30.0,2005
1424,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[n-]2)c1C,8.83,2005
1409,O=c1c2ccccc2nc(/C=C/c2cccnc2)n1Cc1ccccc1,8.99,2005
1413,Cc1cccc2c(C(=O)O)cc(-c3cccs3)nc12,8.96,2005
992,COCc1cc(C)nc(SCC(=O)c2ccc(O)c(O)c2)c1C#N,19.0,2005
990,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2n1,19.19,2005
983,O=C(Nc1nc(-c2ccc(Cl)s2)cs1)c1cccs1,19.52,2005
982,CC(C)(C)c1ccc(OCc2nn3c(-c4ccncc4)nnc3s2)cc1,19.58,2005
975,Cc1sc(NC(=O)Cc2ccc3c(c2)OCO3)nc1-c1ccc2c(c1)CCN2C(=O)c1ccccc1F,20.0,2005
958,O=S(=O)(Nc1cccc(C(F)(F)F)c1)c1ccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1,20.0,2005
957,Cc1cnc(CNc2nc(-c3ccccc3Cl)nc3ccccc23)cn1,20.0,2005
956,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,20.05,2005
950,CCOC(=O)c1c[nH]c2c3c(ccc2c1=O)CCCC3,20.37,2005
944,COc1ccc(-n2cnc3cc(C(=O)N4CCCCC4)ccc32)cc1,20.67,2005
940,C[C@@]12CCC(=O)C=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@](O)(C(=O)CO)CC[C@@]12O,20.92,2005
931,COC(=O)C1=C(C)NC(=O)CC1C(=O)Nc1ccc(Cl)cc1,21.0,2005
922,CCOc1ccc(CNc2ccc3c(c2)ncn3C)cc1,21.0,2005
921,Cc1cnc(CNc2nc(-c3cccc(NS(C)(=O)=O)c3)nc3ccccc23)cn1,21.0,2005
919,COc1cc(C2c3cc(O)c(OC)cc3CC3C(=O)OCC32)ccc1O,21.1,2005
1003,COc1c(O)ccc2c1CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,18.9,2005
916,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,21.25,2005
1006,CC(C)(C)C1CCc2[nH]c3ccccc3c(=O)c2C1,18.72,2005
1010,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,18.52,2005
1056,O=C(Nc1nc(-c2ccccc2)cs1)c1ccccc1[N+](=O)[O-],17.0,2005
1055,CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc(S(=O)(=O)N3CCOCC3)c2)c1C,17.0,2005
1054,Cc1ccc(-c2cc(C(=O)NCc3ccc(S(N)(=O)=O)cc3)c3ccccc3n2)cc1C,17.0,2005
1051,CC(=O)c1c(C)n(-c2ccccc2)c2ccc(O)cc12,17.0,2005
