index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
1203,Oc1ccc(CN2CC(CNc3ccccc3)C3(C2)CN(c2ccccc2)C3)cc1,0.0729094678645473,10.6679,1.1512,4.3747,-14.1211,-69.4771,-83.5982
1541,Cc1[nH]c2ccccc2c1CN1CCN(c2ccccn2)CC1,0.027643400138217,8.2294,0.5504,3.2517,-11.0977,-59.057,-61.1142
168,CCOc1ccc(CNc2ccc3c(c2)ncn3C)cc1,0.6945404284727021,7.8211,0.5944,3.9333,-10.3197,-60.6109,-62.9727
13,CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1,0.944713199723566,12.7612,0.6834,5.9435,8.2929,-73.4568,-45.0111
172,CCN1C(=O)c2ccccc2[S@+]([O-])c2ccc(C(=O)NCc3ccc(C#N)cc3)cc21,0.6945404284727021,11.6017,0.6192,7.7206,-19.9673,-95.8345,-110.8617
650,COC(=O)c1cccc(NC(=O)c2cnc(-c3ccc(F)cc3)nc2-c2ccncc2)c1,0.2829993089149965,11.773,0.7368,8.8526,-20.2889,-114.1017,-121.2629
261,NC(=O)C1CCN(c2nc(-c3ccc(OCc4ccccc4)cc3)cs2)CC1,0.600898410504492,10.5428,1.3959,6.0083,-13.1237,-85.7686,-90.4875
1085,CCC(Sc1nc2ccccc2c2nc(CCc3c(C)n[nH]c3C)nn12)C(=O)Nc1ccc(F)cc1,0.1074637180373185,12.4627,1.4165,8.0093,-15.9995,-114.5596,-111.6309
1248,CCc1ccc(NC(=O)c2cc3ncccn3n2)cc1,0.0656530753282653,6.8318,0.8107,4.1369,-12.6926,-63.2134,-64.6383
673,Cc1ccc(-c2[nH]n3c(=O)c4c(nc3c2C)CCCC4)cc1,0.2702142363510712,7.2893,0.8459,3.5712,-12.5703,-53.4707,-58.0144
259,NC(=O)C1CCN(c2nc(-c3ccc(Oc4ccccc4)cc3)cs2)CC1,0.6071181755355909,9.7259,1.3856,5.8008,-14.2311,-82.8249,-89.9705
1069,COc1ccc(OCc2ccc(-c3nc(C#N)c(NC(C)c4ccccc4)o3)o2)cc1,0.1119557705597788,11.1505,0.6933,7.5237,-21.6831,-99.8507,-102.8794
139,Nc1c(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)sc2nc3c(cc12)N1CCC3CC1,0.733241188666206,7.1494,2.4727,8.1534,-16.9068,-100.1665,-105.9401
550,O=C1NC(=S)NC(=O)C1=Cc1cccn1-c1ccc(O)cc1,0.3306841741534209,5.5409,2.8315,6.7015,-15.2725,-86.8128,-102.0853
843,O=C(Nc1ccc(Cl)c(S(=O)(=O)N2CCOCC2)c1)c1ccc(S(=O)(=O)N2CCOCC2)cc1,0.1900483759502419,15.244,0.6941,12.2148,-2.1403,-146.1369,-110.0454
1582,CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,0.0259156876295784,9.4319,0.0,2.6993,-6.8786,-39.8776,-46.7562
1545,Cc1ccc(CCNC(=O)C2CCCN(C(=O)c3cc4sccc4n3C)C2)cc1,0.027643400138217,11.6517,0.5388,6.143,-9.7244,-84.9354,-79.7583
1055,NC(=O)C1CCN(c2nc(-c3cc4ccccc4o3)cs2)CC1,0.1143745680718728,7.6817,1.3983,5.3986,-13.4673,-76.2845,-80.758
559,O=C(Nc1ccc(N2CCN(c3ncccc3C(F)(F)F)CC2)nc1)c1cccs1,0.3237733241188666,11.3505,0.6437,9.0302,-11.8541,-112.329,-100.474
140,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.731859018659295,19.5812,2.6577,12.4163,-3.3065,-170.8254,-156.026
1543,Cc1ccc(CSCc2ccc(C(=O)NC3CC3)o2)cc1,0.027643400138217,7.5814,0.6133,4.4358,-5.7558,-56.6047,-56.3011
532,Cc1ccccc1C(=O)N1CCc2cc(N3CCC(NC(=O)Cc4ccccc4)C3)ccc21,0.3489979267449896,12.4912,0.507,5.7573,-16.6701,-82.7207,-92.244
225,COc1cc(-c2nc(-c3c(C)noc3C)cc3c2cc(C)n3CCN(C)C)ccn1,0.6492743607463719,11.0611,0.0,6.1348,-10.7047,-91.4801,-88.4522
724,COc1ccccc1Nc1ccnc(N2CCN(C(=O)c3ccccc3Cl)CC2)n1,0.2418797512093987,11.5873,0.9155,7.2147,-13.7718,-101.8025,-92.6865
787,Cc1cc(C(=O)Nc2nnc(C3CCCCC3)s2)cs1,0.2142363510711817,6.2897,0.9869,3.6955,-5.3481,-54.1442,-56.2984
807,COc1ccc(Nc2cnc3ccc(-c4ccc(OC)c(OC)c4)nn23)cc1,0.2028334485141672,9.9912,0.8017,6.6835,-17.9804,-91.7188,-96.4332
410,O=C1Nc2ccccc2/C1=C\c1ccc(O)cc1,0.4526606772633034,5.3426,1.6294,3.976,-14.8144,-51.2623,-66.0767
