index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
62,CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1,0.0133402438387857,11.381,0.8475,7.7848,-5.7707,-98.3615,-96.4011
47,CCOc1nc(N)nc2c1ncn2[C@@H]1O[C@@H]2CO[P@](=O)(OC(C)C)O[C@H]2[C@@]1(C)F,0.2107282261963186,13.2986,1.6097,12.8569,0.5323,-158.3569,-69.209
10,CCS(=O)(=O)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1,0.4997220956241191,8.6963,0.0,4.8414,-16.5186,-60.5758,-60.4094
9,CC(C)O[P@@]1(=O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@@]3(CCO3)[C@@H]2O1,0.3634797463324209,12.0807,1.0943,11.7179,0.384,-136.0886,-70.2015
19,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,0.0355809318743228,15.0509,0.5113,9.3418,0.9191,-126.1454,-99.6087
14,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3cc(F)ccc3C2=O)CN1,0.1022846524577736,16.5645,0.6033,12.3494,-10.8873,-151.1658,-132.6847
59,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3cc(=O)n(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,0.0828238419775518,16.0445,0.4669,10.707,1.7007,-139.4358,-106.927
54,Cc1cccc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.0136187318722216,15.228,2.264,11.3516,-9.7723,-149.726,-141.017
53,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,0.0494719816858264,16.7215,0.4795,10.9876,2.7093,-143.2678,-107.094
2,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3c(F)cccc3C2=O)CN1,0.1940522960504559,16.8081,0.608,12.6193,-10.882,-153.8596,-135.4269
4,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc([C@@H](O)c4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,0.0772707572389795,16.1364,1.2573,11.2801,3.1099,-147.7768,-118.6864
46,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nc(CO)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,0.0439188969472542,16.4111,1.2531,11.121,4.1106,-145.9189,-116.0924
